type,  length, w.sep, c.ucase, w.cap, c.lcase, c.digit, bits, sample
"words",	 3,	      "-",	NA,	"none",	NA,	NA,	42.45,	"corpse-before-blade"
"3ltrs",	 3,	      "-",	NA,	"none",	NA,	NA,	39.72,	"kgv-her-xbf"
"words",	 3,	 "digits",	NA,	"none",	NA,	NA,	48.06,	"workday4february6hammer"
"3ltrs",	 3,	 "digits",	NA,	"none",	NA,	NA,	45.34,	"gvb8cuh3pgc"
"words",	 3,	"dig_sym",	NA,	"none",	NA,	NA,	49.36,	"cadge.farm5gluten"
"3ltrs",	 3,	"dig_sym",	NA,	"none",	NA,	NA,	46.63,	"qbx1zup.pcq"
"words",	 3,	      "-",	NA,	 "one",	NA,	NA,	44.03,	"frizz-BEEF-heroine"
"3ltrs",	 3,	      "-",	NA,	 "one",	NA,	NA,	41.31,	"mzj-EPJ-jcb"
"words",	 3,	 "digits",	NA,	 "one",	NA,	NA,	49.65,	"ADORN9seminal2humbug"
"3ltrs",	 3,	 "digits",	NA,	 "one",	NA,	NA,	46.92,	"ufp4knd8FGP"
"words",	 3,	"dig_sym",	NA,	 "one",	NA,	NA,	50.94,	"etch_TRADUCE9leave"
"3ltrs",	 3,	"dig_sym",	NA,	 "one",	NA,	NA,	48.21,	"HPM0cmv*grj"
"words",	 4,	      "-",	NA,	"none",	NA,	NA,	56.60,	"dumps-aeolian-paternal-voluble"
"3ltrs",	 4,	      "-",	NA,	"none",	NA,	NA,	52.96,	"bkx-fac-hct-rtp"
"words",	 4,	 "digits",	NA,	"none",	NA,	NA,	65.02,	"ingraft8forty9kayo6limbeck"
"3ltrs",	 4,	 "digits",	NA,	"none",	NA,	NA,	61.39,	"qrf9ghb9qdt3frx"
"words",	 4,	"dig_sym",	NA,	"none",	NA,	NA,	68.09,	"clover7bench6factory*hung"
"3ltrs",	 4,	"dig_sym",	NA,	"none",	NA,	NA,	64.46,	"tvf9dca*nwm!vrg"
"words",	 4,	      "-",	NA,	 "one",	NA,	NA,	58.60,	"purdue-fondue-mull-SAUL"
"3ltrs",	 4,	      "-",	NA,	 "one",	NA,	NA,	54.96,	"fbk-FYT-hvh-jkg"
"words",	 4,	 "digits",	NA,	 "one",	NA,	NA,	67.02,	"thesis7wizen9eclipse2BOATMEN"
"3ltrs",	 4,	 "digits",	NA,	 "one",	NA,	NA,	63.39,	"udm9TRJ6maq8qtg"
